yr,InitYear,YearDead,Site,spp,TagNo,TagStatus,Tapedist,Direction,dist,dbh1,tdbh,ht1,Cones,FYC,FALSE,order,site_tag
2002,2002,2003,EF1,P,934,N,31.6,W,3.8,1.9,1.9,69,0,0,TRUE,2,EF1_934
2003,2002,2003,EF1,P,934,F,31.6,W,3.8,-100,-100,-100,0,0,TRUE,3,EF1_934
2002,2002,2014,EF1,P,935,N,42.4,W,3.2,6,6,-100,0,0,TRUE,4,EF1_935
2003,2002,2014,EF1,P,935,F,42.4,W,3.2,7.2,7.2,-100,0,0,TRUE,5,EF1_935
2005,2002,2014,EF1,P,935,F,42.4,W,3.2,10,10,-100,0,0,TRUE,6,EF1_935
2008,2002,2014,EF1,P,935,F,42.4,W,3.2,12,12,-100,0,0,TRUE,7,EF1_935
2009,2002,2014,EF1,P,935,F,42.4,W,3.2,14.4,14.4,-100,0,0,TRUE,8,EF1_935
2011,2002,2014,EF1,P,935,F,42.4,W,3.2,16.4,16.4,-100,1,1,TRUE,9,EF1_935
2013,2002,2014,EF1,P,935,F,42.4,W,3.2,17.4,17.4,-100,0,0,TRUE,10,EF1_935
2014,2002,2014,EF1,P,935,F,42.4,W,3.2,17.4,17.4,-100,0,0,TRUE,11,EF1_935
2002,2002,2003,EF1,P,945,N,39.1,W,1,2.6,2.6,-100,0,0,TRUE,12,EF1_945
2003,2002,2003,EF1,P,945,F,22.5,W,0.4,-100,-100,-100,0,0,TRUE,13,EF1_945
2008,2002,2003,EF1,P,945,TR,22.5,W,0.4,-100,-100,-100,0,0,TRUE,14,EF1_945
2002,2002,2014,EF1,P,946,N,39.3,W,4.1,4.5,4.5,261,0,0,TRUE,15,EF1_946
2003,2002,2014,EF1,P,946,F,39.3,W,4.1,5.5,5.5,426,0,0,TRUE,16,EF1_946
2005,2002,2014,EF1,P,946,F,39.3,W,4.1,7.9,7.9,426,0,0,TRUE,17,EF1_946
2008,2002,2014,EF1,P,946,F,39.3,W,4.1,10.3,10.3,-100,4,0,TRUE,18,EF1_946
2009,2002,2014,EF1,P,946,F,39.3,W,4.1,11.3,11.3,-100,6,0,TRUE,19,EF1_946
2011,2002,2014,EF1,P,946,F,39.3,W,4.1,14.4,14.4,-100,6,0,TRUE,20,EF1_946
2013,2002,2014,EF1,P,946,F,39.3,W,4.1,15.1,15.1,-100,6,0,TRUE,21,EF1_946
2014,2002,2014,EF1,P,946,F,39.3,W,4.1,15.1,15.1,-100,11,0,TRUE,22,EF1_946
2002,2002,2014,EF1,P,947,N,40.3,W,2,4.5,4.5,212,0,0,TRUE,23,EF1_947
2003,2002,2014,EF1,P,947,F,40.3,W,2,5.8,5.8,372,0,0,TRUE,24,EF1_947
2005,2002,2014,EF1,P,947,F,40.3,W,2,9.2,9.2,-100,0,0,TRUE,25,EF1_947
2008,2002,2014,EF1,P,947,F,40.3,W,2,11,11,-100,0,0,TRUE,26,EF1_947
2009,2002,2014,EF1,P,947,F,40.3,W,2,11.5,11.5,-100,0,0,TRUE,27,EF1_947
2011,2002,2014,EF1,P,947,F,40.3,W,2,12.4,12.4,-100,0,0,TRUE,28,EF1_947
2013,2002,2014,EF1,P,947,F,40.3,W,2,12.7,12.7,-100,0,0,TRUE,29,EF1_947
2014,2002,2014,EF1,P,947,F,40.3,W,2,12.7,12.7,-100,0,0,TRUE,30,EF1_947
2002,2002,2003,EF1,P,948,N,42.6,W,4,1.8,1.8,69,0,0,TRUE,31,EF1_948
2003,2002,2003,EF1,P,948,N,42.6,W,4,-100,-100,-100,0,0,TRUE,32,EF1_948
2002,2002,2014,EF1,P,971,N,30.8,W,2.1,1.2,1.2,61,0,0,TRUE,33,EF1_971
2003,2002,2014,EF1,P,971,F,30.8,W,2.1,1.4,1.4,157,0,0,TRUE,34,EF1_971
2005,2002,2014,EF1,P,971,F,30.8,W,2.1,3.8,3.8,235,0,0,TRUE,35,EF1_971
2008,2002,2014,EF1,P,971,F,30.8,W,2.1,6.8,6.8,-100,0,0,TRUE,36,EF1_971
2009,2002,2014,EF1,P,971,F,30.8,W,2.1,8.2,8.2,-100,1,0,TRUE,37,EF1_971
2011,2002,2014,EF1,P,971,F,30.8,W,2.1,12.5,12.5,-100,3,0,TRUE,38,EF1_971
2013,2002,2014,EF1,P,971,F,30.8,W,2.1,13.8,13.8,-100,4,0,TRUE,39,EF1_971
2014,2002,2014,EF1,P,971,F,30.8,W,2.1,13.8,13.8,-100,2,0,TRUE,40,EF1_971
2002,2002,2007,EF1,P,977,N,33.9,E,0.3,2.2,2.2,161,0,0,TRUE,41,EF1_977
2003,2002,2008,EF1,P,977,F,33.9,E,0.3,3,3,206,0,0,TRUE,42,EF1_977
2005,2002,2009,EF1,P,977,F,33.9,E,0.3,4.4,4.4,234,0,0,TRUE,43,EF1_977
2008,2002,2010,EF1,P,977,F,33.9,E,0.3,5.7,5.7,-100,0,0,TRUE,44,EF1_977
2009,2002,2011,EF1,P,977,F,33.9,E,0.3,6.1,6.1,-100,0,0,TRUE,45,EF1_977
2011,2002,2012,EF1,P,977,F,33.9,E,0.3,7,7,-100,2,2,TRUE,46,EF1_977
2013,2002,2013,EF1,P,977,F,33.9,E,0.3,7.5,7.5,-100,2,0,TRUE,47,EF1_977
2014,2002,2014,EF1,P,977,F,33.9,E,0.3,6.9,6.9,-100,1,0,TRUE,48,EF1_977
2002,2002,2014,EF1,P,988,N,44.7,W,2.8,4,4,278,0,0,TRUE,49,EF1_988
2003,2002,2014,EF1,P,988,F,44.7,W,2.8,5.1,5.1,407,0,0,TRUE,50,EF1_988
2005,2002,2014,EF1,P,988,F,44.7,W,2.8,7.4,7.4,-100,0,0,TRUE,51,EF1_988
2008,2002,2014,EF1,P,988,F,44.7,W,2.8,10.1,10.1,-100,0,0,TRUE,52,EF1_988
2009,2002,2014,EF1,P,988,F,44.7,W,2.8,10.7,10.7,-100,0,0,TRUE,53,EF1_988
2011,2002,2014,EF1,P,988,F,44.7,W,2.8,15.9,15.9,-100,3,0,TRUE,54,EF1_988
2013,2002,2014,EF1,P,988,F,44.7,W,2.8,17.1,17.1,-100,3,0,TRUE,55,EF1_988
2014,2002,2014,EF1,P,988,F,44.7,W,2.8,17.3,17.3,-100,4,0,TRUE,56,EF1_988
2002,2002,2014,EF1,P,1082,N,18,E,4.5,1.7,1.7,151,0,0,TRUE,57,EF1_1082
2003,2002,2014,EF1,P,1082,F,18,E,4.5,3.9,3.9,269,0,0,TRUE,58,EF1_1082
2005,2002,2014,EF1,P,1082,F,18,E,4.5,8.6,8.6,-100,0,0,TRUE,59,EF1_1082
2008,2002,2014,EF1,P,1082,F,18,E,4.5,14.5,14.5,-100,0,0,TRUE,60,EF1_1082
2009,2002,2014,EF1,P,1082,F,18,E,4.5,17.3,17.3,-100,7,0,TRUE,61,EF1_1082
2011,2002,2014,EF1,P,1082,F,18,E,4.5,22.4,22.4,-100,35,18,TRUE,62,EF1_1082
2013,2002,2014,EF1,P,1082,F,18,E,4.5,24.2,24.2,-100,57,0,TRUE,63,EF1_1082
2014,2002,2014,EF1,P,1082,F,18,E,4.5,24,24,-100,58,0,TRUE,64,EF1_1082
2002,2002,2002,EF1,P,1083,N,18.3,E,1.6,1.4,35.02798881,2,0,0,TRUE,65,EF1_1083
2002,2002,2003,EF1,P,1084,N,17.7,E,3.5,3.6,3.6,168,0,0,TRUE,66,EF1_1084
2003,2002,2003,EF1,P,1084,F,17.7,E,3.5,4.1,4.1,268,0,0,TRUE,67,EF1_1084
2005,2002,2003,EF1,P,1084,F,17.7,E,3.5,-100,-100,-100,0,0,TRUE,68,EF1_1084
2008,2002,2003,EF1,P,1084,TR,17.7,E,3.5,-100,-100,-100,0,0,TRUE,69,EF1_1084
2002,2002,2003,EF1,P,1085,N,19.8,E,1.1,2.5,2.5,105,0,0,TRUE,70,EF1_1085
2003,2002,2003,EF1,P,1085,F,19.8,E,1.1,-100,-100,-100,0,0,TRUE,71,EF1_1085
2002,2002,2014,EF1,P,1087,N,28.2,E,0.8,2.2,2.2,93,0,0,TRUE,72,EF1_1087
2003,2002,2014,EF1,P,1087,F,28.2,E,0.8,4.4,4.4,130,0,0,TRUE,73,EF1_1087
2005,2002,2014,EF1,P,1087,F,28.2,E,0.8,3.4,3.4,250,0,0,TRUE,74,EF1_1087
2008,2002,2014,EF1,P,1087,F,28.2,E,0.8,6.8,6.8,-100,0,0,TRUE,75,EF1_1087
2009,2002,2014,EF1,P,1087,F,28.2,E,0.8,7.7,10.54182147,-100,0,0,TRUE,76,EF1_1087
2011,2002,2014,EF1,P,1087,F,28.2,E,0.8,12.9,17.61845623,-100,0,2,TRUE,77,EF1_1087
2013,2002,2014,EF1,P,1087,F,28.2,E,0.8,13,17.75978603,-100,1,0,TRUE,78,EF1_1087
2014,2002,2014,EF1,P,1087,F,28.2,E,0.8,13.3,27,-100,1,0,TRUE,79,EF1_1087
2002,2002,2003,EF1,P,1088,N,29,W,0.8,0.7,0.7,145,0,0,TRUE,80,EF1_1088
2003,2002,2003,EF1,P,1088,F,29,W,0.8,0.7,0.7,145,0,0,TRUE,81,EF1_1088
2002,2002,2014,EF1,P,1089,N,27.3,W,4,2.1,2.1,79,0,0,TRUE,82,EF1_1089
2003,2002,2014,EF1,P,1089,F,27.3,W,4,3.5,3.5,126,0,0,TRUE,83,EF1_1089
2005,2002,2014,EF1,P,1089,F,27.3,W,4,1.8,1.8,180,0,0,TRUE,84,EF1_1089
2008,2002,2014,EF1,P,1089,F,27.3,W,4,3.6,3.6,245,0,0,TRUE,85,EF1_1089
2009,2002,2014,EF1,P,1089,F,27.3,W,4,4.3,4.3,284,1,0,TRUE,86,EF1_1089
2011,2002,2014,EF1,P,1089,F,27.3,W,4,7.4,7.4,-100,1,0,TRUE,87,EF1_1089
2013,2002,2014,EF1,P,1089,F,27.3,W,4,7.9,7.9,-100,1,0,TRUE,88,EF1_1089
2014,2002,2014,EF1,P,1089,F,27.3,W,4,7.9,7.9,-100,1,0,TRUE,89,EF1_1089
2002,2002,2008,EF1,P,1095,N,14.3,W,2.3,5.2,5.2,188,0,0,TRUE,90,EF1_1095
2003,2002,2008,EF1,P,1095,F,14.3,W,2.3,10.2,10.2,173,0,0,TRUE,91,EF1_1095
2005,2002,2008,EF1,P,1095,F,14.3,W,2.3,5.6,7.574298647,173,0,0,TRUE,92,EF1_1095
2008,2002,2008,EF1,P,1095,F,14.3,W,2.3,-100,-100,-100,0,0,TRUE,93,EF1_1095
2009,2002,2008,EF1,P,1095,F,14.3,W,2.3,-100,-100,-100,0,0,TRUE,94,EF1_1095
2011,2002,2008,EF1,P,1095,F,14.3,W,2.3,-100,-100,-100,0,0,TRUE,95,EF1_1095
2003,2003,2005,EF1,P,1518,N,28.9,W,3.3,0.2,0.2,14,0,0,TRUE,96,EF1_1518
2004,2003,2005,EF1,P,1518,F,28.9,W,3.3,0.4,0.4,20,0,0,TRUE,97,EF1_1518
2005,2003,2005,EF1,P,1518,N,28.9,W,3.3,-100,-100,-100,0,0,TRUE,98,EF1_1518
2003,2003,-100,EF1,P,1519,N,17.7,W,0.1,0.1,0.1,7,0,0,TRUE,99,EF1_1519
2004,2003,-100,EF1,P,1519,F,17.7,W,0.1,0.3,0.3,18,0,0,TRUE,100,EF1_1519
2005,2003,-100,EF1,P,1519,F,17.7,W,0.1,0.5,0.5,32,0,0,TRUE,101,EF1_1519
2008,2003,-100,EF1,P,1519,F,17.7,W,0.1,3.9,3.9,95,0,0,TRUE,102,EF1_1519
2009,2003,-100,EF1,P,1519,F,17.7,W,0.1,1,1.720465053,164,0,0,TRUE,103,EF1_1519
2011,2003,-100,EF1,P,1519,F,17.7,W,0.1,4.7,4.7,-100,0,0,TRUE,104,EF1_1519
2013,2003,-100,EF1,P,1519,F,17.7,W,0.1,6.6,6.6,-100,0,0,TRUE,105,EF1_1519
2014,2003,-100,EF1,P,1519,F,17.7,W,0.1,7.2,7.2,-100,0,0,TRUE,106,EF1_1519
2003,2003,2005,EF1,P,1520,N,45,W,3.4,1.5,1.5,14,0,0,TRUE,107,EF1_1520
2005,2003,2005,EF1,P,1520,NF,45,W,3.4,-100,-100,-100,0,0,TRUE,108,EF1_1520
2008,2003,2005,EF1,P,1520,TR,45,W,3.4,-100,-100,-100,0,0,TRUE,109,EF1_1520
2003,2003,2005,EF1,P,1521,N,81,W,3.3,1.2,1.2,60,0,0,TRUE,110,EF1_1521
2005,2003,2005,EF1,-100,1521,N,81,W,3.3,1.2,-100,60,0,0,TRUE,111,EF1_1521
2003,2003,-100,EF1,O,1522,N,71.2,E,0.2,0.7,0.7,16,0,0,TRUE,112,EF1_1522
2005,2003,-100,EF1,O,1522,F,71.2,E,0.2,0.7,0.7,37,0,0,TRUE,113,EF1_1522
2008,2003,-100,EF1,O,1522,F,71.2,E,0.2,1.7,1.7,28,0,0,TRUE,114,EF1_1522
2009,2003,-100,EF1,O,1522,F,71.2,E,0.2,1.6,1.6,31,-100,0,TRUE,115,EF1_1522
2011,2003,-100,EF1,O,1522,F,71.2,E,0.2,2.5,2.5,32,0,0,TRUE,116,EF1_1522
2013,2003,-100,EF1,O,1522,F,71.2,E,0.2,3.2,3.2,33,0,0,TRUE,117,EF1_1522
2014,2004,-100,EF1,O,1522,F,71.2,E,0.2,3.2,3.2,40,0,0,TRUE,118,EF1_1522
2003,2003,2005,EF1,P,1523,N,36.7,E,1.6,3.5,3.5,110,0,0,TRUE,119,EF1_1523
2005,2003,2005,EF1,P,1523,ND,36.7,E,1.6,-100,-100,-100,0,0,TRUE,120,EF1_1523
2008,2003,2005,EF1,P,1523,TR,36.7,E,1.6,-100,-100,-100,0,0,TRUE,121,EF1_1523
2003,2003,2005,EF1,P,1524,N,36.6,E,2.1,0.8,0.8,82,0,0,TRUE,122,EF1_1524
2005,2003,2005,EF1,P,1524,NF,36.6,E,2.1,0.8,-100,82,0,0,TRUE,123,EF1_1524
2003,2003,2005,EF1,P,1525,N,32.8,E,0.3,0.3,0.3,13,0,0,TRUE,124,EF1_1525
2005,2003,2005,EF1,P,1525,NF,32.8,E,0.3,0.3,-100,13,0,0,TRUE,125,EF1_1525
2003,2003,2014,EF1,P,1526,N,32.2,E,4.6,0.2,0.2,9,0,0,TRUE,126,EF1_1526
2004,2003,2014,EF1,P,1526,F,32.2,E,4.6,0.3,0.3,17,0,0,TRUE,127,EF1_1526
2005,2003,2014,EF1,P,1526,F,32.2,E,4.6,0.9,0.9,45,0,0,TRUE,128,EF1_1526
2008,2003,2014,EF1,P,1526,F,32.2,E,4.6,2.3,2.3,79,0,0,TRUE,129,EF1_1526
2009,2003,2014,EF1,P,1526,F,32.2,E,4.6,2.8,2.8,100,0,0,TRUE,130,EF1_1526
2011,2003,2014,EF1,P,1526,F,32.2,E,4.6,3.2,3.2,296,0,0,TRUE,131,EF1_1526
2013,2003,2014,EF1,P,1526,F,32.2,E,4.6,4,4,-100,0,0,TRUE,132,EF1_1526
2014,2003,2014,EF1,P,1526,F,32.2,E,4.6,4,4,-100,0,0,TRUE,133,EF1_1526
2003,2002,2005,EF1,P,1527,N,31.5,E,1.5,0.1,0.1,10,0,0,TRUE,134,EF1_1527
2004,2002,2005,EF1,P,1527,TR,31.5,E,1.5,-100,-100,-100,0,0,TRUE,135,EF1_1527
2005,2002,2005,EF1,P,1527,NF,31.5,E,1.5,-100,-100,-100,0,0,TRUE,136,EF1_1527
2008,2002,2005,EF1,P,1527,NF,31.5,E,1.5,-100,-100,-100,0,0,TRUE,137,EF1_1527
2009,2002,2005,EF1,P,1527,NF,31.5,E,1.5,-100,-100,-100,0,0,TRUE,138,EF1_1527
2011,2002,2005,EF1,P,1527,NF,31.5,E,1.5,-100,-100,-100,0,0,TRUE,139,EF1_1527
2003,2003,2005,EF1,P,1528,N,24.3,E,0.4,0.1,0.1,11,0,0,TRUE,140,EF1_1528
2004,2003,2005,EF1,P,1528,N,24.3,E,0.4,0.3,0.3,17,0,0,TRUE,141,EF1_1528
2005,2003,2005,EF1,P,1528,NF,24.3,E,0.4,-100,-100,-100,0,0,TRUE,142,EF1_1528
2008,2003,2005,EF1,P,1528,TR,24.3,E,0.4,-100,-100,-100,0,0,TRUE,143,EF1_1528
2002,2002,2014,EF1,P,1803,N,36.2,E,1.9,9.2,9.2,-100,2,0,TRUE,144,EF1_1803
2003,2002,2014,EF1,P,1803,F,36.2,E,1.9,11.3,11.3,-100,2,0,TRUE,145,EF1_1803
2005,2002,2014,EF1,P,1803,F,36.2,E,1.9,18.8,18.8,-100,3,0,TRUE,146,EF1_1803
2008,2002,2014,EF1,P,1803,F,36.2,E,1.9,19.6,19.6,-100,15,0,TRUE,147,EF1_1803
2009,2002,2014,EF1,P,1803,F,36.2,E,1.9,20.9,20.9,-100,33,0,TRUE,148,EF1_1803
2011,2002,2014,EF1,P,1803,F,36.2,E,1.9,24.7,24.7,-100,31,4,TRUE,149,EF1_1803
2013,2002,2014,EF1,P,1803,F,36.2,E,1.9,25.8,25.8,-100,48,0,TRUE,150,EF1_1803
2014,2002,2014,EF1,P,1803,F,36.2,E,1.9,26.3,26.3,-100,0,0,TRUE,151,EF1_1803
2002,2002,2003,EF1,P,1804,N,38.1,E,0.8,4.3,4.3,-100,0,0,TRUE,152,EF1_1804
2003,2002,2003,EF1,P,1804,F,38.1,E,0.8,-100,-100,-100,0,0,TRUE,153,EF1_1804
2008,2002,2003,EF1,P,1804,TR,38.1,E,0.8,-100,-100,-100,0,0,TRUE,154,EF1_1804
2002,2002,2005,EF1,P,1805,N,40.8,E,4.9,2.5,2.5,-100,0,0,TRUE,155,EF1_1805
2003,2002,2005,EF1,P,1805,F,40.8,E,4.9,2.5,2.5,-100,0,0,TRUE,156,EF1_1805
2005,2002,2005,EF1,P,1805,F,40.8,E,4.9,-100,-100,-100,0,0,TRUE,157,EF1_1805
2008,2002,2005,EF1,P,1805,NF,40.8,E,4.9,-100,-100,-100,0,0,TRUE,158,EF1_1805
2009,2002,2005,EF1,P,1805,TR,40.8,E,4.9,-100,-100,-100,0,0,TRUE,159,EF1_1805
2002,2002,2014,EF1,P,1806,N,41.1,E,3.2,6.5,6.5,-100,0,0,TRUE,160,EF1_1806
2003,2002,2014,EF1,P,1806,F,41.1,E,3.2,7.6,7.6,-100,0,0,TRUE,161,EF1_1806
2005,2002,2014,EF1,P,1806,F,41.1,E,3.2,10.3,10.3,-100,0,0,TRUE,162,EF1_1806
2008,2002,2014,EF1,P,1806,F,41.1,E,3.2,12.7,12.7,-100,0,0,TRUE,163,EF1_1806
2009,2002,2014,EF1,P,1806,F,41.1,E,3.2,14.3,14.3,-100,0,0,TRUE,164,EF1_1806
2011,2002,2014,EF1,P,1806,F,41.1,E,3.2,17.8,17.8,-100,6,2,TRUE,165,EF1_1806
2013,2002,2014,EF1,P,1806,F,41.1,E,3.2,18.7,18.7,-100,13,0,TRUE,166,EF1_1806
2014,2002,2014,EF1,P,1806,F,41.1,E,3.2,22.3,22.3,-100,14,0,TRUE,167,EF1_1806
2002,2002,2002,EF1,P,1807,N,41.9,E,4,2,2,200,0,0,TRUE,168,EF1_1807
2002,2002,2008,EF1,P,1808,N,42.2,E,0.4,1.7,1.7,178,0,0,TRUE,169,EF1_1808
2003,2002,2008,EF1,P,1808,F,42.2,E,0.4,2.4,2.4,230,0,0,TRUE,170,EF1_1808
2005,2002,2008,EF1,P,1808,F,42.2,E,0.4,3.5,3.5,270,0,0,TRUE,171,EF1_1808
2008,2002,2008,EF1,P,1808,F,42.2,E,0.4,4,4,300,0,0,TRUE,172,EF1_1808
2009,2002,2008,EF1,P,1808,TR,42.2,E,0.4,-100,-100,-100,0,0,TRUE,173,EF1_1808
2002,2002,2008,EF1,P,1809,N,44.5,E,2.4,6.5,6.5,-100,0,0,TRUE,174,EF1_1809
2003,2002,2008,EF1,P,1809,F,44.5,E,2.4,7,7,-100,0,0,TRUE,175,EF1_1809
2005,2002,2008,EF1,P,1809,F,44.5,E,2.4,9.6,9.6,-100,0,0,TRUE,176,EF1_1809
2008,2002,2008,EF1,P,1809,F,44.5,E,2.4,10.3,10.3,-100,0,0,TRUE,177,EF1_1809
2009,2002,2008,EF1,P,1809,F,44.5,E,2.4,-100,-100,-100,0,0,TRUE,178,EF1_1809
2011,2002,2008,EF1,P,1809,F,44.5,E,2.4,-100,-100,-100,0,0,TRUE,179,EF1_1809
2002,2002,2003,EF1,P,1810,N,47.3,E,4.9,1.5,1.5,140,0,0,TRUE,180,EF1_1810
2003,2002,2003,EF1,P,1810,F,47.3,E,4.9,-100,-100,-100,0,0,TRUE,181,EF1_1810
2008,2002,2003,EF1,P,1810,F,47.3,E,4.9,-100,-100,-100,0,0,TRUE,182,EF1_1810
2009,2002,2003,EF1,P,1810,F,47.3,E,4.9,-100,-100,-100,0,0,TRUE,183,EF1_1810
2002,2002,2008,EF1,P,1811,N,46.6,E,4.6,1.3,1.3,160,0,0,TRUE,184,EF1_1811
2003,2002,2008,EF1,P,1811,F,46.6,E,4.6,1.4,1.4,176,0,0,TRUE,185,EF1_1811
2005,2002,2008,EF1,P,1811,F,46.6,E,4.6,1.7,1.7,220,0,0,TRUE,186,EF1_1811
2008,2002,2008,EF1,P,1811,F,46.6,E,4.6,1.7,1.7,220,0,0,TRUE,187,EF1_1811
2009,2002,2008,EF1,P,1811,TR,46.6,E,4.6,-100,-100,-100,0,0,TRUE,188,EF1_1811
2002,2002,2002,EF1,P,1812,N,49.4,E,1.7,4.5,4.5,-100,0,0,TRUE,189,EF1_1812
2003,2002,2002,EF1,P,1812,F,49.4,E,1.7,-100,-100,-100,0,0,TRUE,190,EF1_1812
2002,2002,-100,EF1,P,1813,N,60.6,E,0.9,10.3,10.3,-100,0,0,TRUE,191,EF1_1813
2003,2002,-100,EF1,P,1813,F,60.8,E,0.9,11.8,11.8,-100,3,0,TRUE,192,EF1_1813
2005,2002,-100,EF1,P,1813,F,60.8,E,0.9,11.7,11.7,-100,0,0,TRUE,193,EF1_1813
2008,2002,-100,EF1,P,1813,F,60.8,E,0.9,22.3,22.3,-100,2,0,TRUE,194,EF1_1813
2009,2002,-100,EF1,P,1813,F,60.8,E,0.9,24.1,24.1,-100,6,0,TRUE,195,EF1_1813
2011,2002,-100,EF1,P,1813,F,60.8,E,0.9,27.1,27.1,-100,26,6,TRUE,196,EF1_1813
2013,2002,-100,EF1,P,1813,F,60.8,E,0.9,28.5,28.5,-100,50,0,TRUE,197,EF1_1813
2014,2002,-100,EF1,P,1813,F,60.8,E,0.9,28.9,28.9,-100,38,0,TRUE,198,EF1_1813
2002,2002,2014,EF1,P,1814,N,64.6,E,4.3,8,8,-100,0,0,TRUE,199,EF1_1814
2003,2002,2014,EF1,P,1814,F,64.6,E,4.3,9.5,9.5,-100,0,0,TRUE,200,EF1_1814
2005,2002,2014,EF1,P,1814,F,64.6,E,4.3,13.6,13.6,-100,0,0,TRUE,201,EF1_1814
2008,2002,2014,EF1,P,1814,F,64.6,E,4.3,18.1,18.1,-100,0,0,TRUE,202,EF1_1814
2009,2002,2014,EF1,P,1814,F,64.6,E,4.3,19.8,19.8,-100,0,0,TRUE,203,EF1_1814
2011,2002,2014,EF1,P,1814,F,64.6,E,4.3,23.5,23.5,-100,6,5,TRUE,204,EF1_1814
2013,2002,2014,EF1,P,1814,F,64.6,E,4.3,25,25,-100,15,0,TRUE,205,EF1_1814
2014,2002,2014,EF1,P,1814,F,64.6,E,4.3,25.1,25.1,-100,23,0,TRUE,206,EF1_1814
2002,2002,2008,EF1,P,1815,N,65,E,1.4,0.6,0.6,15,0,0,TRUE,207,EF1_1815
2003,2002,2008,EF1,P,1815,F,65,E,1.4,1.2,1.2,60,0,0,TRUE,208,EF1_1815
2005,2002,2008,EF1,P,1815,F,65,E,1.4,2.1,2.1,160,0,0,TRUE,209,EF1_1815
2008,2002,2008,EF1,P,1815,TR,65,E,1.4,-100,-100,-100,0,0,TRUE,210,EF1_1815
2002,2002,2014,EF1,P,1816,N,77.8,E,1.8,3.6,6.741661516,-100,0,0,TRUE,211,EF1_1816
2003,2002,2014,EF1,P,1816,F,77.8,E,1.8,4.9,4.9,-100,5,0,TRUE,212,EF1_1816
2005,2002,2014,EF1,P,1816,F,77.8,E,1.8,8.1,8.1,-100,4,0,TRUE,213,EF1_1816
2008,2002,2014,EF1,P,1816,F,77.8,E,1.8,11.2,11.2,-100,14,0,TRUE,214,EF1_1816
2009,2002,2014,EF1,P,1816,F,77.8,E,1.8,12.6,12.6,-100,11,0,TRUE,215,EF1_1816
2011,2002,2014,EF1,P,1816,F,77.8,E,1.8,15.3,15.3,-100,15,0,TRUE,216,EF1_1816
2013,2002,2014,EF1,P,1816,F,77.8,E,1.8,15.9,15.9,-100,26,0,TRUE,217,EF1_1816
2014,2002,2014,EF1,P,1816,F,77.8,E,1.8,16.1,16.1,-100,10,0,TRUE,218,EF1_1816
2002,2002,-100,EF1,P,1817,N,78.2,E,0.6,3.5,3.5,94,0,0,TRUE,219,EF1_1817
2003,2002,-100,EF1,P,1817,F,78.2,E,0.6,4.6,4.6,3.6,0,0,TRUE,220,EF1_1817
2005,2002,-100,EF1,P,1817,F,78.2,E,0.6,7.6,7.6,-100,0,0,TRUE,221,EF1_1817
2008,2002,-100,EF1,P,1817,F,78.2,E,0.6,10.7,10.7,-100,4,0,TRUE,222,EF1_1817
2009,2002,-100,EF1,P,1817,F,78.2,E,0.6,11.7,11.7,-100,4,0,TRUE,223,EF1_1817
2011,2002,-100,EF1,P,1817,F,78.2,E,0.6,13.8,13.8,-100,4,0,TRUE,224,EF1_1817
2013,2002,-100,EF1,P,1817,F,78.2,E,0.6,14.6,14.6,-100,9,0,TRUE,225,EF1_1817
2014,2003,-100,EF1,P,1817,F,78.2,E,0.6,14.2,14.2,-100,8,0,TRUE,226,EF1_1817
2002,2002,2014,EF1,P,1818,N,80,E,1.6,9,9,-100,0,0,TRUE,227,EF1_1818
2005,2002,2014,EF1,P,1818,F,80,E,1.6,14,14,-100,4,0,TRUE,228,EF1_1818
2008,2002,2014,EF1,P,1818,F,80,E,1.6,17,17,-100,8,0,TRUE,229,EF1_1818
2009,2002,2014,EF1,P,1818,F,80,E,1.6,18,18,-100,8,0,TRUE,230,EF1_1818
2011,2002,2014,EF1,P,1818,F,80,E,1.6,21.2,21.2,-100,8,0,TRUE,231,EF1_1818
2013,2002,2014,EF1,P,1818,F,80,E,1.6,22.4,22.4,-100,9,0,TRUE,232,EF1_1818
2014,2002,2014,EF1,P,1818,F,80,E,1.6,22.4,22.4,-100,18,0,TRUE,233,EF1_1818
2002,2002,2014,EF1,P,1819,N,80.4,E,1.3,7,7,-100,0,0,TRUE,234,EF1_1819
2003,2002,2014,EF1,P,1819,F,80.4,E,1.3,8.3,8.3,-100,0,0,TRUE,235,EF1_1819
2005,2002,2014,EF1,P,1819,F,80.4,E,1.3,11.2,11.2,-100,1,0,TRUE,236,EF1_1819
2008,2002,2014,EF1,P,1819,F,80.4,E,1.3,14.6,14.6,-100,4,0,TRUE,237,EF1_1819
2009,2002,2014,EF1,P,1819,F,80.4,E,1.3,15.1,15.1,-100,2,0,TRUE,238,EF1_1819
2011,2002,2014,EF1,P,1819,F,80.4,E,1.3,17.9,17.9,-100,0,0,TRUE,239,EF1_1819
2013,2002,2014,EF1,P,1819,F,80.4,E,1.3,19.2,19.2,-100,2,0,TRUE,240,EF1_1819
2014,2002,2014,EF1,P,1819,F,80.4,E,1.3,19.2,19.2,-100,2,0,TRUE,241,EF1_1819
2002,2002,2003,EF1,P,1820,N,80.3,E,1,1.8,1.8,130,0,0,TRUE,242,EF1_1820
2003,2002,2003,EF1,-100,1820,F,80.3,E,1,-100,-100,130,0,0,TRUE,243,EF1_1820
